大楼,学校,来源,户型,开始日期,结束日期,价格1,价格2
Vista 65,工作,推荐:国内同事推荐,Studio,2026/4/6,2026/5/10,3150,2423
The Ritz Plaza,NYU,推荐:客户推荐,1B1B,2026/4/10,2026/4/25,5125,5125
The Orchard LIC,NYU,推荐:客户推荐,2B2B,2026/4/11,2026/8/15,7855,7855
The Orchard LIC,NYU,推荐:非客户推荐/推荐:客户推荐,2B1B,2026/4/7,2026/7/31,6660,6660
The Orchard LIC,NYU,朋友圈广告,1B1B,2026/4/6,2026/7/31,5193,5913
The Orchard LIC,NYU,推荐:客户推荐,1B1B,2026/4/9,2026/6/1,5855,5855
The Orchard LIC,NYU,推荐:非客户推荐,1B1B,2026/4/12,2026/5/12,5340,4929
The Orchard LIC,NYU,推荐:客户推荐,Studio,2026/4/12,2026/7/31,4215,4215
The Orchard LIC,NYU,推荐:客户推荐,Studio,2026/4/8,2026/4/30,4126,4126
The Orchard LIC,NYU,推荐:客户推荐,Studio,2026/4/9,2026/7/31,3891,3891
The Orchard LIC,工作,老客户租房,Studio,2026/4/8,2026/4/11,4205,3882
The Orchard LIC,Cornell University,老客户租房,Studio,2026/4/8,2026/6/15,4160,3840
The Octagon,工作,推荐:国内同事推荐,Studio,2026/4/9,2026/7/19,2805,2805
The Journal South,NYU,老客户租房,3B2B,2026/4/12,2026/9/1,5535,6150
The Journal South,Manhattan School of Music,推荐:客户推荐,1B1B,2026/4/12,2026/8/15,4625,4625
The Journal South,工作,推荐:客户推荐,1B1B,2026/4/10,2026/6/27,4295,4295
The Journal South,工作,推荐:客户推荐,1B1B,2026/4/8,2026/5/31,4135,4135
The Journal South,New School/Parsons,小红书,1B1B,2026/4/6,2026/8/25,3665,3675
The Journal South,other,推荐:客户推荐,1B1B,2026/4/11,2026/8/20,3670,3670
The Journal North,NYU,推荐:非客户推荐,1B1B,2026/4/9,2026/5/25,3770,3770
The Journal North,NYU,小红书,Studio,2026/4/7,2026/5/1,3325,3069
The Italic,Manhattan School of Music,推荐:小红书KOS,1B1B,2026/4/10,2026/4/15,4995,4206
The Highland BK,NYU Tandon,推荐:非客户推荐,Studio,2026/4/11,2026/8/10,3250,2400
The Greyson,NYU,老客户租房/推荐:客户推荐,2B2B,2026/4/9,2026/8/24,4560,4560
The Greyson,NYU,推荐:非客户推荐,1B1B,2026/4/7,2026/8/25,3895,3895
The Greyson,NYU,推荐:国内同事推荐,1B1B,2026/4/11,2026/8/31,3565,3565
The Greyson,工作,推荐:客户推荐,Studio,2026/4/10,2026/6/1,2900,2900
The Greyson,Pace University,小红书,Studio,2026/4/10,2026/8/17,2860,2622
The Greyson,NYU,推荐:非客户推荐,Studio,2026/4/11,2026/8/26,2730,2520
The Forge,工作,推荐:客户推荐,Studio,2026/4/10,2026/8/28,2602,2602
The Beach,NYU,老客户租房,1B1B,2026/4/12,2026/4/30,3830,3830
Stuytown,NYU,推荐:小红书KOS,3B1B,2026/4/6,2026/4/26,7554,7554
Steel Works Apartments,工作,推荐:非客户推荐,Studio,2026/4/11,2026/4/25,2093,2093
SoMA,工作,推荐:国内同事推荐/推荐:客户推荐,其他,2026/4/7,2026/5/22,5545,5545
Miramar,Columbia University,小红书,2B2B,2026/4/6,2026/8/1,4950,4950
Miramar,Columbia University/other,推荐:国内同事推荐,2B2B,2026/4/8,2026/8/15,4750,4749.96
Miramar,Fordham University,推荐:美国市场推荐,1B1B,2026/4/10,2026/8/22,3279,3279
Miramar,Columbia University,推荐:客户推荐,1B1B,2026/4/7,2026/6/10,3229,3229
